Metric Name,Metric Unit,Maximum,Minimum,Average
l1tex__t_sector_pipe_lsu_mem_global_op_red_hit_rate.pct,%,,,0.000000
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct,%,,,69.867057
l1tex__t_sector_pipe_lsu_mem_local_op_ld_hit_rate.pct,%,,,0.000000
l1tex__t_sector_pipe_lsu_mem_local_op_st_hit_rate.pct,%,,,0.000000
l1tex__t_sector_pipe_tex_mem_surface_op_atom_hit_rate.pct,%,,,0.000000
l1tex__t_sector_pipe_tex_mem_surface_op_ld_hit_rate.pct,%,,,0.000000
l1tex__t_sector_pipe_tex_mem_surface_op_red_hit_rate.pct,%,,,0.000000
l1tex__t_sector_pipe_tex_mem_surface_op_st_hit_rate.pct,%,,,0.000000
l1tex__t_sector_pipe_tex_mem_texture_op_tex_hit_rate.pct,%,,,0.000000
l1tex__t_sectors.sum.pct_of_peak_sustained_elapsed,%,,,0.718182
l1tex__t_sectors_pipe_lsu_mem_global_op_atom.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_miss.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,,,127154835.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum,sector,,,223136.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,sector,,,126931699.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_red.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum,sector,,,33554432.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit.sum,sector,,,23443494.000000
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,sector,,,10110938.000000
l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_miss.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_miss.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_atom.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_miss.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_ld.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_miss.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_red.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_miss.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_st.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_texture.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_texture_lookup_hit.sum,sector,,,0.000000
l1tex__t_sectors_pipe_tex_mem_texture_lookup_miss.sum,sector,,,0.000000
l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__tex_writeback_active.sum,cycle,,,0.000000
l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,0.076265
l1tex__throughput.avg.pct_of_peak_sustained_active,%,,,52.599463
launch__block_dim_x,block,,,512.000000
launch__block_dim_y,block,,,1.000000
launch__block_dim_z,block,,,1.000000
launch__block_size,,,,512
launch__context_id,,,,1
launch__device_id,,,,0
launch__func_cache_config,,,,CachePreferNone
launch__function_pcs,,,,"140,079,813,446,912"
launch__grid_dim_x,,,,128
launch__grid_dim_y,,,,128
launch__grid_dim_z,,,,1
launch__grid_size,,,,"16,384"
launch__occupancy_limit_blocks,block,,,16.000000
launch__occupancy_limit_registers,block,,,2.000000
launch__occupancy_limit_shared_mem,block,,,2.000000
launch__occupancy_limit_warps,block,,,3.000000
launch__occupancy_per_block_size,,,,"1,330"
launch__occupancy_per_register_count,,,,"3,104"
launch__occupancy_per_shared_mem_size,,,,"4,224"
launch__registers_per_thread,register/thread,,,64.000000
launch__registers_per_thread_allocated,register/thread,,,32768.000000
launch__shared_mem_config_size,Kbyte,,,65.536000
launch__shared_mem_per_block,Kbyte/block,,,22.016000
launch__shared_mem_per_block_allocated,Kbyte/block,,,22.016000
launch__shared_mem_per_block_driver,Kbyte/block,,,1.024000
launch__shared_mem_per_block_dynamic,byte/block,,,0.000000
launch__shared_mem_per_block_static,Kbyte/block,,,20.992000
launch__stream_id,,,,7
launch__thread_count,thread,,,8388608.000000
launch__uses_cdp,,,,0
launch__waves_per_multiprocessor,,,,178.09
lts__average_gcomp_input_sector_success_rate.pct,%,,,0.000000
lts__average_gcomp_output_sector_compression_achieved_rate.ratio,,,,0
lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
lts__d_sectors.avg.pct_of_peak_sustained_elapsed,%,,,7.307107
lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,%,,,7.478572
lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,%,,,0.000600
lts__gcomp_input_sectors.sum,sector,,,0.000000
lts__gcomp_input_sectors.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
lts__gcomp_input_sectors.sum.per_second,sector/second,,,0.000000
lts__gcomp_output_sectors.sum,sector,,,0.000000
lts__gcomp_output_sectors.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
lts__gcomp_output_sectors.sum.per_second,sector/second,,,0.000000
lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,14.513541
lts__t_requests.sum,request,,,133007808.000000
lts__t_requests_srcunit_tex.sum,request,,,132946105.000000
lts__t_requests_srcunit_tex_op_atom_dot_alu.sum,request,,,0.000000
lts__t_requests_srcunit_tex_op_atom_dot_cas.sum,request,,,0.000000
lts__t_requests_srcunit_tex_op_read.sum,request,,,99465178.000000
lts__t_requests_srcunit_tex_op_red.sum,request,,,0.000000
lts__t_requests_srcunit_tex_op_write.sum,request,,,33472682.000000
lts__t_sector_hit_rate.pct,%,,,58.787211
lts__t_sectors.avg.pct_of_peak_sustained_elapsed,%,,,18.150970
lts__t_sectors.avg.peak_sustained,sector/cycle,,,1.000000
lts__t_sectors.avg.per_cycle_elapsed,sector/cycle,,,0.181510
lts__t_sectors.sum,sector,,,167774061.000000
